Runtime dead semantic audit summary
===================================
FILES_SCANNED: 2865
GVL_FIELDS_SCANNED: 6018
DUT_FIELDS_SCANNED: 6144
DUT_TYPES_SCANNED: 962
UNUSED_GVL_FIELDS: 8
UNUSED_DUT_FIELDS: 1753
ORPHAN_DUT_TYPES: 2
SEMANTIC_ZOMBIE_PATTERNS: 889
TOTAL_FINDINGS: 2652
TRUNCATED: False

[UNUSED_DUT_FIELD] Ownership_Confidence_Observation @ ST_Heating_Runtime_Adaptive_Intelligence.dut:42 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Synchronization_Confidence_Observation @ ST_Heating_Runtime_Adaptive_Intelligence.dut:43 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Power_Percent @ ST_Boiler_Status.dut:11 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Current_Power @ ST_Boiler_Status.dut:12 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Last_Start @ ST_Boiler_Status.dut:16 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] AuthMethod @ ST_TwoFactor_Data.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] rfid_tag @ ST_TwoFactor_Data.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] totp_secret @ ST_TwoFactor_Data.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] last_modified @ ST_TwoFactor_Data.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Night_Reduction @ ST_Heating_Config.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Target_Room_Temp @ ST_Heating_Config.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Speed_Percent @ ST_Ventilation_Unit.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Mode @ ST_Ventilation_Unit.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] location @ ST_FloorHeating_Manifold_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] nominal_flow @ ST_FloorHeating_Manifold_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] enable_pump @ ST_FloorHeating_Manifold_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] circuits @ ST_FloorHeating_Manifold_Config.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Avg_Result_Value @ ST_Scenario_Stats.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Stability_Counter @ ST_Scenario_Stats.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Last_Activation @ ST_Scenario_Stats.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Temp_Room @ ST_Zone_Sensors.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Temp_Floor @ ST_Zone_Sensors.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Switch_Physical @ ST_Zone_Sensors.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Light_State @ ST_Zone_Sensors.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Maintenance @ ST_Zone_Sensors.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] enable_floor_heating @ ST_FloorHeating_Global_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] anti_freeze_temp @ ST_FloorHeating_Global_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] overheat_temp @ ST_FloorHeating_Global_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] weather_compensation_enabled @ ST_FloorHeating_Global_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] total_circuits @ ST_FloorHeating_Global_Config.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Outdoor_Temp @ ST_System_State_Summary.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Indoor_Temp @ ST_System_State_Summary.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Floor_Temps @ ST_System_State_Summary.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Humidity @ ST_System_State_Summary.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] CO2 @ ST_System_State_Summary.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Security_Alarm @ ST_System_State_Summary.dut:12 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Emergency_Two_Stage_Enabled @ ST_Flood_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Valve_Test_Period_Days @ ST_Flood_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Current_Threshold_MA @ ST_Flood_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] maintenance_enabled @ ST_Maintenance_Access_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] max_duration_minutes @ ST_Maintenance_Access_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] requires_two_person @ ST_Maintenance_Access_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] access_level_required @ ST_Maintenance_Access_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Predictive_Analytics_Visible @ ST_Heating_Runtime_Predictive_State.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Predictive_Analytics_Degraded @ ST_Heating_Runtime_Predictive_State.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Predictive_Analytics_Attention @ ST_Heating_Runtime_Predictive_State.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Runtime_Stable @ ST_Heating_Runtime_Predictive_State.dut:15 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Runtime_Stability_Score @ ST_Heating_Runtime_Predictive_State.dut:16 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Runtime_Degradation_Observation @ ST_Heating_Runtime_Predictive_State.dut:21 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Runtime_Failure_Observation @ ST_Heating_Runtime_Predictive_State.dut:22 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Cascade_Degradation_Observation @ ST_Heating_Runtime_Predictive_State.dut:27 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Cascade_Degraded_Trend_Visible @ ST_Heating_Runtime_Predictive_State.dut:28 - DUT field appears unused as a member access.
